学号,姓名,年龄,性别,联系方式,班级,语文,数学,英语,物理,化学,生物,政治,历史,地理,总分
202101211,ujjrcd,26,女,15972222926,29,128,98,114,35,36,90,14,70,81,666
202101212,oxcfuf,22,男,13179145122,129,138,31,68,10,19,71,92,87,67,583
202101213,ecrdna,26,男,13544524252,87,60,77,36,63,60,47,48,63,3,457
202101214,tbcoco,20,女,18896838771,44,133,124,88,81,32,42,28,18,65,611
202101215,lxtktc,22,男,17520464391,20,49,147,119,57,28,34,7,90,29,560
202101216,qiixsg,26,男,13540397168,87,68,126,37,37,52,30,65,91,45,551
202101217,ipxiia,17,男,17836375172,43,89,75,53,66,81,90,67,80,62,663
202101218,rjbxvm,24,女,18084751633,116,46,120,25,39,68,92,60,96,29,575
202101219,brttob,20,女,15850205417,125,32,89,62,13,89,79,67,43,34,508
202101220,tyrzza,22,男,18968401072,56,0,120,27,5,92,55,3,50,7,359
202101221,loufen,20,女,17597627226,21,117,25,73,5,16,92,29,14,100,471
202101222,utekvh,22,男,17325161983,102,140,124,72,59,21,93,24,39,94,666
202101223,oxdxpm,17,男,18193439265,72,48,65,14,34,72,88,40,100,17,478
202101224,mglyun,18,男,17810859323,95,37,47,96,43,12,20,71,62,35,423
202101225,qakpfu,23,男,18918832014,22,47,110,139,64,60,12,74,52,87,645
202101226,wjeiuk,25,男,17779164104,149,98,140,26,88,9,7,84,28,79,559
202101227,zndbmq,26,男,17536132114,71,73,90,8,90,80,19,34,52,29,475
202101228,umkbni,26,男,13691031293,100,130,99,29,96,87,56,16,2,24,539
202101229,aaqici,16,男,13689246070,166,16,75,56,56,75,32,14,37,78,439
202101230,qvjnpk,17,男,13052113563,125,67,56,4,25,81,29,58,93,87,500
202101231,miktex,25,男,17844674209,1,100,81,110,61,10,18,10,90,26,506
202101232,wrlywx,18,女,17512015515,149,34,95,140,33,56,13,68,8,17,464
202101233,hhndlp,24,男,15325017509,34,55,45,36,17,96,74,54,24,73,474
202101234,irlorw,19,男,18063372386,107,48,81,5,92,55,90,74,12,73,530
202101235,ubhqvn,16,男,18550349732,148,102,113,116,17,42,20,75,22,98,605
202101236,gywbrn,19,女,14917010605,140,4,139,12,44,36,10,20,60,97,422
202101237,hbrukf,26,女,18119733601,24,122,149,123,80,58,14,74,43,43,706
202101238,pbfdjq,20,男,18113147775,79,38,81,147,11,0,51,24,15,21,388
202101239,sknxug,17,男,18170816128,134,114,150,70,69,59,63,91,55,45,716
202101240,wnlvwh,21,女,15866112510,150,100,55,87,67,39,83,29,87,62,609
202101241,vqcupn,17,女,13576161669,47,67,138,124,78,45,92,78,11,41,674
202101242,pieisq,20,女,18711897927,97,53,2,57,22,9,6,67,41,7,264
202101243,esbqej,22,男,15989537911,10,129,89,15,4,24,12,33,30,45,381
202101244,eyqagy,21,女,18986757410,163,17,118,127,82,99,14,68,84,88,697
202101245,dvgrtq,20,男,18557617120,150,131,136,98,77,51,30,45,19,14,601
202101246,kckiow,19,男,18833260572,19,49,1,120,31,0,10,67,47,34,359
202101247,eeboag,17,男,15884111613,82,67,135,20,79,11,88,30,99,11,540
202101248,zcsaiz,25,女,17599457163,27,93,25,27,9,36,99,73,7,59,428
202101249,msigcs,23,女,13644724660,31,135,5,30,63,25,10,1,54,70,393
202101250,lixnyv,21,女,18996743396,41,147,117,27,16,13,0,99,31,53,503
202101251,gjhiiu,19,男,13314314561,19,120,62,11,28,97,48,14,59,60,499
202101252,yooiaw,24,女,15732330067,83,47,74,115,48,100,76,28,74,86,648
202101253,mfbcii,21,女,18120194041,39,97,14,50,68,81,56,87,57,87,597
202101254,jazivw,17,女,18025897502,52,115,131,15,88,35,70,71,95,83,703
202101255,zdrvab,22,男,18169315984,106,95,135,116,54,44,48,59,0,95,646
202101256,wqldjd,26,男,18775307043,52,103,134,116,57,73,28,15,37,83,646
202101257,wxfsvp,22,男,13367439027,86,20,42,114,35,85,16,85,67,93,557
202101258,bgdjob,22,女,18919959061,57,141,142,123,30,89,77,95,6,61,764
202101259,ybbcoh,21,男,13666725717,101,100,110,122,98,37,6,18,28,27,546
202101260,xopjom,25,男,17515093079,105,40,2,80,83,92,74,86,72,40,569
202101261,fxqjxz,18,女,15917164080,54,88,133,4,2,80,82,14,34,20,457
202101262,ysbjkd,19,女,13621816987,132,128,129,149,48,71,98,45,56,41,765
202101263,klyygm,19,男,18757983144,73,25,82,105,7,98,6,50,69,32,474
202101264,ypnmkl,23,女,18787843114,33,42,23,14,38,13,42,75,13,58,318
202101265,urfptr,21,女,17716414969,73,89,28,46,54,5,44,94,28,60,448
202101266,byaaoy,20,男,15311545277,145,32,126,125,84,6,41,87,33,47,581
202101267,zvojab,24,男,13083609756,48,9,29,114,19,64,30,18,62,55,400
202101268,bmbety,25,女,15747405044,23,98,1,70,41,48,2,69,27,96,452
202101269,zhshqb,24,男,18718637170,152,60,104,102,42,92,33,81,41,87,642
202101270,dosnmi,20,女,15912964676,153,40,61,26,25,31,30,86,57,16,372
202101271,xvlzfd,18,男,15849580123,154,67,22,106,25,58,60,81,31,6,456
202101272,adqjrb,23,男,18619733736,147,37,98,12,7,90,55,46,89,50,484
202101273,lrunyf,17,女,13663817430,128,126,70,30,43,8,7,0,25,47,356
202101274,xbecth,16,女,13694808553,146,89,100,147,1,38,68,8,49,65,565
202101275,iozxvb,24,男,13357599951,42,43,56,150,18,99,42,12,2,1,423
202101276,zeearz,18,男,15379625054,94,14,88,97,98,5,92,41,16,21,472
202101277,sfvdbb,23,女,18790749842,156,24,116,75,29,4,93,24,13,61,439
202101278,veedgl,20,男,13697007386,112,122,44,22,23,56,70,93,95,70,595
202101279,ouhjje,20,男,18967077055,60,47,105,47,90,80,85,7,35,24,520
202101280,qgomqy,17,女,18015733330,158,38,105,119,94,29,55,71,79,33,623
202101281,rhvmzt,16,男,18967985367,85,150,92,131,15,50,39,62,100,9,648
202101282,kfkzyh,26,女,13014087240,62,81,115,149,45,45,77,26,37,67,642
202101283,tphpzl,21,男,15777755770,148,122,99,61,42,69,73,11,21,26,524
202101284,itihda,25,男,15931994672,14,70,133,51,40,100,7,54,65,83,603
202101285,uytycl,16,女,13310135316,54,127,146,25,39,22,13,25,9,40,446
202101286,fnearo,19,男,13529665955,14,20,32,133,70,77,80,12,50,92,566
202101287,wxkayt,21,男,14970361654,19,77,105,42,15,52,23,71,11,74,470
202101288,sdjfug,25,男,18878350804,90,92,58,12,53,72,72,98,89,48,594
202101289,xhohro,24,男,18934343530,87,69,50,18,12,50,73,60,81,71,484
202101290,jeahmk,21,男,15778667420,65,125,108,150,20,78,39,60,25,43,648
202101291,ihqsoh,26,男,13330326465,87,29,19,139,56,38,88,40,42,45,496
202101292,qtejqh,25,男,18726943307,30,61,33,78,49,28,30,26,68,96,469
202101293,nmlahy,19,女,18884144501,9,32,68,102,62,58,99,58,37,97,613
202101294,jrhzan,21,女,13362059699,34,25,28,0,63,81,31,6,14,15,263
202101295,jtcpvi,20,女,15733510949,139,90,13,96,22,74,48,42,24,29,438
202101296,biiwzn,25,女,13547205780,149,141,133,97,29,40,37,89,68,68,702
202101297,ctyflw,23,女,18738625319,150,131,58,130,85,49,66,29,66,90,704
202101298,uvuwsp,19,男,18733141946,37,137,117,108,82,47,29,80,32,54,686
202101299,qgjrbx,21,男,15928493130,137,67,10,52,61,81,33,25,49,81,459
202101300,xkmysu,20,女,17787779129,132,65,46,122,4,33,38,95,73,97,573
202101301,qfgrva,18,女,13029887888,138,73,107,133,26,44,37,20,65,22,527
202101302,oordtt,20,男,18810640466,128,63,135,102,36,70,40,24,30,93,593
202101303,sjyyhe,20,男,15373492641,48,58,112,12,61,73,93,35,44,42,530
202101304,nsqlrb,25,男,13197495469,55,139,144,117,37,41,11,48,58,6,601
202101305,qqipba,21,女,17758647936,83,10,94,70,58,30,90,18,0,65,435
202101306,qytjqt,24,女,13342080095,55,129,100,69,29,23,99,68,30,55,602
202101307,gyoffv,21,男,18770173439,152,0,111,102,31,30,52,44,47,51,468
202101308,gohjae,23,男,13677032947,7,40,51,134,66,15,57,5,6,70,444
202101309,ptlgom,23,女,18990817773,13,62,7,13,77,20,41,46,18,17,301
202101310,nyjocj,18,男,18575807252,89,45,59,145,33,38,59,28,64,75,546
202101311,hlilwj,19,男,18896492057,114,30,120,26,61,77,23,77,3,77,494
202101312,wtihxo,21,男,18623112054,84,145,2,100,99,85,21,0,94,46,592
202101313,vlioac,23,女,13628394389,27,41,150,57,62,43,90,20,72,5,540
202101314,hhkkys,25,男,17853866394,9,10,90,99,75,78,45,93,76,68,634
202101315,anvulg,23,男,18550413400,24,57,126,147,67,13,49,93,48,97,697
202101316,vjmhkn,25,男,18153297273,100,24,78,55,50,25,1,74,20,35,362
202101317,ochafc,19,女,15331713566,50,101,23,83,56,91,68,57,94,80,653
202101318,mtmznf,16,男,18974822900,54,148,101,79,33,89,3,58,86,74,671
202101319,vltgpo,26,女,13594532144,25,73,96,76,45,64,85,40,82,17,578
202101320,tvertb,26,男,13031191173,9,79,75,76,38,78,58,94,9,84,591
202101321,mqefwu,24,男,13680027495,138,145,93,118,74,15,72,81,42,33,673
202101322,zyylsl,22,女,18936385319,162,31,19,74,59,69,47,35,73,49,456
202101323,aplhuw,16,男,13142661441,62,124,79,69,83,19,15,91,45,69,594
202101324,tvrtkm,21,男,15953415107,137,56,32,15,4,31,88,98,68,51,443
202101325,minyyq,18,女,13192886435,79,108,43,64,0,5,34,19,80,62,415
202101326,ehujhv,17,男,18568335408,56,77,107,148,69,35,19,94,29,9,587
202101327,qxgnnf,20,女,18619104269,35,129,12,9,29,60,77,49,1,100,466
202101328,vmrsqz,17,男,15986313614,2,0,103,89,32,18,37,27,72,55,433
202101329,ukxpwi,20,男,18575779737,75,146,58,117,77,1,77,32,93,27,628
202101330,oxvbem,26,男,13544908045,54,105,138,128,22,83,15,46,79,64,680
202101331,dlatlt,24,女,14986393453,110,62,90,100,36,65,80,77,48,3,561
202101332,gwcpwd,25,女,14911701090,59,14,103,1,39,97,25,85,77,33,474
202101333,xfxulj,20,男,18987078973,114,12,73,26,93,65,11,5,57,45,387
202101334,rdhexe,26,男,18154547549,76,29,96,101,82,74,47,39,59,9,536
202101335,nvppzx,20,男,18987269480,149,7,73,59,41,43,82,65,84,14,468
202101336,xcugjh,20,男,18636372051,51,43,125,47,56,4,22,65,44,60,466
202101337,pjmwlu,23,男,13011850686,45,71,111,92,4,88,8,50,47,46,517
202101338,ypolwz,24,女,13141348881,116,59,23,108,45,14,59,4,40,9,361
202101339,sfitrs,17,男,15387106575,96,80,88,26,32,53,95,53,34,93,554
202101340,qccigd,26,女,18664022023,151,78,68,123,9,66,0,17,24,8,393
202101341,bmjwnx,16,女,18045282011,29,96,77,63,7,3,54,59,85,17,461
202101342,xuljgv,26,女,13184621268,102,57,63,48,62,96,48,45,37,19,475
202101343,hvvlbx,20,女,17816023616,51,123,94,95,42,30,6,66,43,29,528
202101344,owakzk,23,女,18068689161,17,66,50,90,67,37,32,49,91,38,520
202101345,wzxjgj,18,女,17582341971,1,142,140,110,48,42,1,75,1,59,618
202101346,cryjvk,16,女,18682975399,11,27,77,80,28,56,11,69,0,82,430
202101347,dwpjjy,22,男,17890881363,80,136,114,74,4,38,48,66,6,64,550
202101348,erdnrf,18,女,13631008976,12,100,58,0,96,59,46,85,70,15,529
202101349,khwcuq,22,男,18027033274,76,61,19,149,44,76,75,64,7,37,532
202101350,nedizo,23,男,15726792461,115,94,33,106,16,78,78,83,52,55,595
202101351,yptwle,21,男,18795292642,36,142,86,66,19,18,48,48,12,17,456
202101352,yfxlnm,16,男,18830008409,65,42,23,145,61,42,85,11,98,13,520
202101353,eiqdra,17,女,17396809225,142,26,5,81,7,99,27,75,96,12,428
202101354,hnzhvi,19,女,18939193547,114,119,4,130,38,25,17,49,53,18,453
202101355,oxffpp,24,女,18718521079,138,138,1,82,32,33,46,64,30,50,476
202101356,vioqfr,17,男,13329996238,163,11,9,50,40,30,77,56,12,14,299
202101357,gwbwkh,20,女,15978106834,145,38,67,53,98,49,63,41,39,35,483
202101358,lhkruc,24,女,13590562304,20,108,129,40,88,62,57,99,1,79,663
202101359,xbuhpw,17,男,17381684924,48,8,77,6,81,99,67,13,3,8,362
202101360,zztxle,23,女,15767540960,65,57,33,124,38,67,75,33,27,95,549
202101361,vuiykp,26,女,18873692811,163,13,48,128,40,1,100,96,70,34,530
202101362,maplvr,26,男,17892028464,53,90,141,55,99,60,98,48,100,100,791
202101363,sinjdf,23,男,14955490676,124,1,24,58,38,18,22,90,14,97,362
202101364,pekuav,22,女,14932472409,53,148,14,148,81,20,36,41,96,46,630
202101365,qcnpoc,23,男,13194297762,22,38,141,134,38,66,38,57,53,69,634
202101366,fovnzg,26,男,18099473680,14,91,14,110,89,74,28,29,51,18,504
202101367,nuwrmr,19,男,13666639364,22,36,135,62,80,20,33,72,84,6,528
202101368,hupojs,23,女,18021920035,94,43,18,80,27,100,51,46,83,6,454
202101369,frvodt,23,女,13566631903,4,134,2,106,56,44,37,14,48,32,473
202101370,gklatl,17,女,13187745000,162,56,67,52,12,64,48,38,21,93,451
202101371,xhdnaa,18,男,18046504013,109,90,129,4,74,52,57,47,50,84,587
202101372,vwymds,16,男,18836538068,97,60,12,103,81,96,45,94,6,12,509
202101373,ulswsk,20,女,13515853851,50,101,45,81,38,78,74,17,72,77,583
202101374,szfkzr,25,男,13537989662,83,98,132,18,53,58,20,25,32,93,529
202101375,amgobf,24,女,15843246161,164,134,69,82,80,63,30,71,51,17,597
202101376,nstlzc,17,女,13041507694,32,131,61,93,96,26,78,77,14,48,624
202101377,olfqru,21,男,18024934815,15,120,99,70,42,52,40,20,32,39,514
202101378,sdghrh,19,男,15342312349,1,99,108,79,21,27,3,93,69,5,504
202101379,ucvzwp,22,女,15365919816,70,118,125,96,14,32,86,90,15,12,588
202101380,jywsbr,18,男,13683130196,40,140,1,97,96,4,67,21,41,60,527
202101381,xvdggv,18,男,17793517222,77,91,26,142,72,22,40,24,24,75,516
202101382,mfcjci,22,男,13175446547,83,68,26,133,58,85,70,87,8,63,598
202101383,khrgmd,23,女,18881386829,20,112,89,81,79,61,88,84,100,0,694
202101384,pvbwiw,21,女,13522442253,6,26,124,21,72,46,81,21,57,55,503
202101385,nixbgj,24,男,15818993749,5,17,86,67,51,73,57,9,58,81,499
202101386,rsjmcb,26,女,13139664850,70,45,37,31,93,17,37,72,54,38,424
202101387,ivyulf,17,男,13349552253,64,83,35,63,46,1,83,8,74,41,434
202101388,ozesyh,24,女,17763657590,154,99,51,115,86,67,1,43,3,63,528
202101389,qguwzc,18,女,17723237763,66,135,22,68,80,87,7,22,96,30,547
202101390,fucdfa,22,女,13082929879,35,143,77,45,94,42,13,66,25,27,532
202101391,mlfilh,17,男,13610731226,28,77,105,82,4,47,17,23,24,61,440
202101392,fjbuqr,25,男,17358955558,96,59,99,36,47,24,5,17,88,11,386
202101393,wlqbwe,26,女,17391272803,25,53,35,20,21,7,2,64,24,96,322
202101394,bhucyw,20,男,13557788009,126,129,65,89,39,99,13,25,81,41,581
202101395,kczrbo,23,女,13538375584,156,42,127,126,5,47,6,98,11,23,485
202101396,ypaguv,21,女,15397025300,126,137,105,8,17,1,62,59,99,26,514
202101397,isyaco,16,男,13639427407,115,123,113,14,50,64,28,35,41,2,470
202101398,ghadag,26,男,13383230609,10,38,57,0,93,82,46,12,51,88,467
202101399,ryjhxy,18,男,17512310746,28,120,110,109,59,45,70,80,16,57,666
202101400,elqqef,18,男,18133910215,126,84,120,107,6,100,62,26,45,31,581
202101401,gdhsfa,20,女,18578784580,115,54,144,59,13,6,55,54,79,96,560
202101402,lbznli,24,男,17778554113,102,117,8,141,13,20,81,52,49,69,550
202101403,qiamvh,23,女,17388921424,124,110,53,133,98,37,27,75,40,8,581
202101404,qghmcz,17,女,15989175346,148,112,25,104,93,89,58,70,53,68,672
202101405,lqkyls,20,男,18860017497,92,71,115,39,21,50,100,26,88,51,561
202101406,pwykid,17,男,15326643171,106,150,132,68,85,56,33,84,92,94,794
202101407,pysqcu,20,男,17513086811,1,72,46,123,61,9,12,67,12,19,421
202101408,iuorxf,22,男,15851617666,82,141,56,53,64,23,78,8,17,13,453
202101409,hhdrho,21,男,15728519154,86,76,97,118,91,83,81,27,97,70,740
202101410,yxezeh,21,女,17371368187,37,69,117,15,30,16,91,32,38,76,484
202101411,hemcxl,18,男,18190499379,62,4,84,131,52,75,12,55,21,56,490
202101412,uwbwiv,23,女,15973428465,18,104,77,30,99,34,28,93,8,56,529
202101413,knbcdg,16,男,18128831799,49,69,35,116,53,83,70,77,22,82,607
202101414,kgtxls,26,男,14918881053,67,56,101,118,7,54,16,67,84,55,558
202101415,tocsbi,18,女,18711178562,115,129,127,109,61,44,36,4,50,64,624
202101416,uhjnyn,18,男,18874230362,61,14,130,16,70,19,79,70,77,78,553
202101417,qaxbgp,23,男,13190644784,9,16,109,116,47,63,34,13,90,17,505
202101418,rytzpb,24,女,18712654970,44,14,64,141,34,82,56,10,58,48,507
202101419,ssgesm,26,男,13341328750,61,125,13,13,52,59,85,28,69,95,539
202101420,ghsyjt,25,男,15349214012,82,150,10,61,15,70,27,66,35,27,461
202101421,rgacsk,18,女,13342741504,141,144,126,138,54,50,13,78,30,50,683
202101422,pmjvvt,16,男,13532659668,131,81,123,50,65,78,84,66,8,82,637
202101423,dfkgsz,25,女,18050587046,89,138,26,126,84,47,31,92,83,94,721
202101424,uvpxyp,19,男,13377172123,123,139,56,118,20,76,66,84,59,43,661
202101425,zuzwcp,22,女,17724968915,91,55,58,112,62,1,17,55,42,34,436
202101426,qjpael,26,男,18525621376,54,73,103,149,73,100,61,98,88,29,774
202101427,nexcsw,20,女,13643994199,62,131,142,58,2,63,3,51,79,15,544
202101428,gpunja,24,男,14912294796,62,142,77,63,11,84,61,17,82,26,563
202101429,liatts,26,男,17587907094,73,10,107,105,3,46,26,7,45,94,443
202101430,xyqwxw,19,男,15395254338,35,12,25,47,91,20,49,93,12,58,407
202101431,qcrrpe,22,女,13682497433,149,11,147,26,89,90,49,37,23,29,501
202101432,oltcxc,21,女,18653466516,18,147,97,2,67,36,40,24,3,30,446
202101433,owsxqx,25,男,15860515924,74,139,93,128,60,77,85,26,17,7,632
202101434,ggcsey,23,男,15856827988,129,31,115,65,37,50,83,49,12,46,488
202101435,hvzgjm,24,男,18016199532,78,77,138,129,72,77,87,88,56,35,759
202101436,wuccfb,24,男,17713902268,42,14,43,72,53,37,16,94,29,6,364
202101437,qtlvmc,19,女,15764057914,82,10,7,64,95,18,43,58,46,34,375
202101438,pzysff,17,男,18011761935,59,106,121,67,9,60,60,19,68,24,534
202101439,jpmpcs,17,女,15964246135,130,17,82,107,72,61,55,9,50,9,462
202101440,hwnpxs,17,男,17719544680,9,112,90,91,59,68,100,74,13,47,654
202101441,lozjso,26,女,13093674502,105,42,31,137,30,31,12,15,25,81,404
202101442,dnulil,20,女,13566036427,152,61,148,110,2,68,97,27,88,89,690
202101443,ewqhcf,23,女,13572446978,72,38,142,9,13,72,68,32,21,50,445
202101444,abfwln,17,男,14955526441,66,143,123,10,35,84,83,47,79,72,676
202101445,gxsyjl,20,男,17888885607,63,92,116,134,47,66,79,1,49,17,601
202101446,uciggs,25,男,17733029955,92,28,15,67,16,80,6,37,11,98,358
202101447,jlvxqt,20,女,13664496637,5,18,144,62,48,40,86,23,83,81,585
202101448,obupmd,19,女,18599254735,23,52,82,142,9,49,44,29,62,3,472
202101449,dmutlv,17,女,14916583014,103,80,41,61,53,96,23,51,8,89,502
202101450,wtpnhl,20,男,15736587628,107,135,61,86,69,97,41,94,41,53,677
202101451,vpeirr,21,男,13053900819,26,70,127,71,48,12,1,91,76,75,571
202101452,otawxt,20,女,18865650577,141,48,130,131,84,13,30,60,38,7,541
202101453,wgigye,16,男,15873510374,37,112,91,134,33,99,93,4,4,87,657
202101454,tmsgzz,25,男,18087452523,144,48,40,100,100,83,93,85,62,10,621
202101455,bhywuz,22,女,18678579930,130,48,16,123,52,54,17,55,46,21,432
202101456,rjtmkx,23,女,17876861571,129,144,34,133,30,14,0,41,0,32,428
202101457,zulevp,17,男,17897969060,45,58,113,88,96,94,63,42,68,12,634
202101458,nlsxly,22,男,18970129817,12,48,97,71,15,51,59,86,100,53,580
202101459,lbxgkw,24,女,18667458621,71,6,52,131,98,85,55,56,20,7,510
202101460,hlslae,24,男,18715942246,45,105,142,97,34,90,28,51,67,88,702
202101461,lourbk,17,女,17393117760,113,75,57,132,36,48,78,72,2,94,594
202101462,whnzqs,25,女,17727432007,85,124,21,141,74,7,96,24,3,59,549
202101463,gmmkdl,17,男,14924830958,151,140,0,91,56,99,54,72,98,51,661
202101464,wiiopr,19,女,15368929936,139,141,60,117,3,32,99,14,6,55,527
202101465,kqrmez,24,女,18642265794,6,131,98,0,76,79,62,76,98,73,693
202101466,hrycdz,23,男,17361964459,138,1,73,124,47,38,69,7,29,24,412
202101467,lddwoo,17,男,18720012600,26,114,74,93,23,13,45,8,97,81,548
202101468,nynzzj,17,女,15878105935,96,120,47,46,64,76,76,83,55,54,621
202101469,fffpiy,18,男,18569429778,20,53,7,3,55,74,54,86,0,54,386
202101470,pokcoi,21,女,15765416937,155,3,3,25,93,92,31,68,31,34,380
202101471,rhmzto,22,男,15942033054,15,109,147,123,68,59,37,21,65,80,709
202101472,pixiep,19,女,15970145939,107,34,94,89,18,19,62,98,9,91,514
202101473,sfzkpw,21,男,18093224643,54,115,40,43,30,33,48,39,81,63,492
202101474,cnoopp,17,男,17884868916,9,116,83,92,28,36,25,49,23,60,512
202101475,izrgsz,22,男,13678017848,104,140,64,10,56,85,52,43,3,45,498
202101476,unbnnh,16,男,15835197253,73,146,91,83,48,75,94,88,62,86,773
202101477,fphyjk,26,女,18669060837,82,30,40,35,37,28,55,6,39,18,288
202101478,ibamhf,25,男,17763609032,32,30,100,104,8,67,20,24,42,19,414
202101479,ttwloi,26,女,14966266078,5,37,38,5,64,8,80,23,16,16,287
202101480,jjltha,24,男,17589624792,113,133,29,82,39,4,62,13,32,93,487
202101481,gfhinw,23,男,13630724593,105,70,144,23,96,75,12,99,83,96,698
202101482,ziswjo,17,男,18988209925,88,111,129,14,95,18,51,49,53,59,579
202101483,arjeqz,19,女,15319874212,87,140,116,52,68,16,98,97,28,8,623
202101484,tdmxht,23,男,18197808211,58,38,94,138,29,4,58,58,32,18,469
202101485,gnadll,17,男,13519385857,113,107,115,138,79,54,19,2,8,20,542
202101486,xazoub,26,男,18543915091,153,131,106,60,64,40,20,38,32,66,557
202101487,qvkdzp,17,女,13633437256,116,24,45,63,12,4,51,49,24,69,341
202101488,hvnjjh,20,女,17762315277,118,76,8,136,47,28,64,20,8,44,431
202101489,nlhogk,17,男,13355241770,103,85,127,35,1,81,75,93,40,12,549
202101490,qkjzwn,25,男,15923155263,72,32,37,135,58,38,50,8,69,98,525
202101491,vntpeb,18,女,18967682379,73,120,94,50,94,94,88,39,59,66,704
202101492,qcnbwy,17,女,18740132097,107,138,142,94,39,84,93,31,66,6,693
202101493,dsjznt,26,女,15867316380,66,31,145,133,99,5,1,97,84,40,635
202101494,qcouie,24,男,15758106443,49,132,53,55,99,44,20,91,37,97,628
202101495,uhrlyd,26,男,18090970025,125,86,110,53,83,10,18,95,28,88,571
202101496,mniqlr,26,女,15370184289,97,36,22,33,76,95,97,47,31,48,485
202101497,qwwvve,21,女,18519732852,70,91,132,16,61,69,84,33,79,100,665
202101498,mjgymh,21,男,18157476321,68,81,134,21,74,24,60,4,86,80,564
202101499,tuepvw,19,男,18189615707,35,116,120,15,97,0,13,66,61,84,572
202101500,hjmven,17,女,13013458361,18,97,114,121,67,41,30,44,57,0,571
202101501,tugtco,20,女,18846576748,109,34,105,146,28,33,21,73,78,35,553
202101502,mbdcne,21,女,13015434187,100,46,93,60,76,8,73,65,6,20,447
202101503,hahcyb,23,女,18032830980,164,143,142,24,57,50,73,33,46,75,643
202101504,idkhtk,23,男,18626976201,57,85,124,6,62,100,52,15,58,30,532
202101505,pmdobi,17,女,17328858176,141,124,95,91,25,82,84,57,59,69,686
202101506,dbenpn,19,女,17883214348,164,56,118,30,75,68,89,88,51,6,581
202101507,qeyjml,22,女,18833394765,112,96,66,77,15,78,90,10,76,25,533
202101508,lssecl,24,女,13160605544,165,35,109,34,18,48,43,83,55,16,441
202101509,lwtfdv,23,男,17323353132,63,119,128,112,52,34,69,68,66,63,711
202101510,vdppcu,21,女,17737577266,148,89,54,45,0,88,8,0,5,98,387
202101511,vikvnq,21,男,13020980104,76,149,20,73,2,71,83,36,24,60,518
202101512,lgnktu,16,男,18152790369,25,97,101,79,89,38,28,90,97,95,714
202101513,dbvwha,16,男,18783209064,36,136,142,54,23,41,45,81,67,66,655
202101514,xtursp,21,男,13011761288,64,75,36,93,79,69,66,24,24,14,480
202101515,rpfpws,16,男,15851645039,83,95,34,39,41,22,10,44,41,41,367
202101516,wgtaer,22,女,18123016231,117,3,23,36,4,9,49,32,62,98,316
202101517,yvovfs,18,女,18083029038,96,101,135,108,14,93,98,98,65,5,717
202101518,tvaovd,23,男,15741375406,76,37,25,112,87,49,72,13,6,69,470
202101519,ixzapx,21,男,18050589645,29,83,89,15,39,34,77,16,16,0,369
202101520,mozvwk,26,女,15841466221,154,82,12,126,48,67,25,31,46,8,445
202101521,bpoppm,20,女,15878488054,16,30,35,105,62,77,51,35,52,63,510
202101522,teptuo,16,男,14975146751,130,85,130,104,5,25,33,91,33,76,582
202101523,xohgjt,25,女,17349534962,65,145,79,125,69,36,76,23,85,74,712
202101524,ttrpjs,16,女,17369301274,90,29,22,72,47,20,2,2,25,98,317
202101525,pssuvb,22,女,15969215908,71,29,47,143,92,19,23,56,32,45,486
202101526,uisrpm,23,男,17399354509,112,105,34,82,22,44,88,55,5,37,472
202101527,exfkhg,26,男,14971041884,80,95,11,86,62,33,62,31,15,81,476
202101528,dbpbyb,17,女,13343973297,56,132,5,117,45,7,87,20,5,18,436
202101529,kxgblw,26,女,13136679662,95,98,51,99,72,49,72,43,3,14,501
202101530,ubdyab,17,女,17889148457,10,113,21,87,28,17,48,67,27,32,440
202101531,xoobbc,20,女,13510684556,156,21,16,6,89,97,20,7,99,15,370
202101532,znylzt,19,男,18721979499,49,123,56,20,55,86,70,23,91,49,573
202101533,lwftrr,17,女,13358162994,27,61,17,86,72,36,2,41,5,46,366
202101534,rjouhb,22,男,14934780284,103,112,129,93,76,2,82,98,36,93,721
202101535,fdbuvd,16,女,17548953700,72,1,106,74,56,96,88,14,71,95,601
202101536,wsrrbx,25,男,18577327166,119,88,53,0,10,37,48,34,37,20,327
202101537,bmdipw,19,男,17783488679,117,99,103,140,77,55,36,76,14,25,625
202101538,lczjdy,26,男,13082710884,113,129,103,31,71,68,38,19,37,85,581
202101539,bcbxce,16,女,13160981700,143,34,140,111,71,19,70,46,57,17,565
202101540,yqnsuk,26,男,15745134023,15,112,90,80,17,43,62,85,10,30,529
202101541,dxjmze,22,男,15736342194,162,102,131,20,32,47,16,74,57,71,550
202101542,qusacy,21,女,18189604080,121,23,19,53,83,17,68,99,87,12,461
202101543,tgvkmc,24,男,18870921125,63,102,1,116,46,2,70,37,16,55,445
202101544,mrqnzi,23,女,13058267901,134,129,32,8,100,2,52,36,86,56,501
202101545,rtepyq,19,女,13010216164,74,133,38,100,12,79,40,88,86,61,637
202101546,nseyft,23,男,17832193398,1,109,71,0,2,17,98,26,92,96,511
202101547,yjwfhd,21,女,17599179575,34,85,118,125,13,1,9,33,75,6,465
202101548,gizsuo,21,男,15379581186,121,79,139,94,67,92,99,23,98,58,749
202101549,ftqwel,26,男,18688136719,162,16,134,81,42,92,39,71,18,87,580
202101550,ngilqz,24,男,17773824227,45,20,133,42,10,82,7,42,46,97,479
